
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-13 14:28:29 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.35ms
  2026-05-13 14:28:29 /themes/default/css/style.css ........................................................ ~ 3.57ms
  2026-05-13 14:28:29 /themes/default/css/custom.css ....................................................... ~ 4.12ms
  2026-05-13 14:28:29 /images/installer/home.png ........................................................... ~ 5.79ms
  2026-05-13 14:28:29 /images/installer/login.png .......................................................... ~ 5.29ms
  2026-05-13 14:28:29 /themes/default/js/customScript.js ................................................... ~ 0.20ms
  2026-05-13 14:28:29 /themes/default/js/installer.js ...................................................... ~ 1.74ms
  2026-05-13 14:28:29 /images/installer/active.png ......................................................... ~ 3.56ms
  2026-05-13 14:28:29 /themes/default/images/bg/installer.jpg .............................................. ~ 3.76ms
  2026-05-13 14:28:29 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.14ms
  2026-05-13 14:28:29 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 1.06ms
  2026-05-13 14:28:29 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.18ms
  2026-05-13 14:28:29 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 1.16ms
  2026-05-13 14:28:29 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 2.10ms
  2026-05-13 14:28:29 /favicon.ico ......................................................................... ~ 0.19ms
  2026-05-13 14:36:00 / ........................................................................................ ~ 1s
  PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in C:\Users\nipun\Desktop\FoodKing\source-code\web source code\foodking\app\Services\InstallerService.php on line 4
  2026-05-13 14:36:01 /install ........................................................................... ~ 517.45ms
  2026-05-13 14:36:17 / .................................................................................. ~ 500.63ms
  2026-05-13 14:36:18 /install ............................................................................. ~ 0.28ms
  2026-05-13 14:36:24 / .................................................................................... ~ 0.63ms
  2026-05-13 14:36:24 /install ........................................................................... ~ 516.95ms
  2026-05-13 14:36:24 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.38ms
  2026-05-13 14:36:24 /themes/default/fonts/typography/public/public.css ................................... ~ 2.06ms
  2026-05-13 14:36:24 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 3.30ms
