
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-15 03:01:56 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 4.69ms
  2026-05-15 03:01:56 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 5.74ms
  2026-05-15 03:01:56 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 0.16ms
  2026-05-15 03:01:56 /build/assets/itemDesignEnum-CKbsMq1M.js ............................................. ~ 1.54ms
  2026-05-15 03:01:56 /build/assets/ItemComponent-DE_Fe8ET.js .............................................. ~ 2.79ms
  2026-05-15 03:01:56 /build/assets/OfferComponent-D9_nYZ7m.js ............................................. ~ 0.13ms
  2026-05-15 03:01:56 /storage/34/slide-0.jpg .............................................................. ~ 0.12ms
  2026-05-15 03:01:57 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 0.86ms
  2026-05-15 03:01:57 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 0.78ms
  2026-05-15 03:01:58 /storage/31/kahumbo-logo-(1).png ..................................................... ~ 0.73ms
  2026-05-15 03:02:00 /firebase-messaging-sw.js ............................................................ ~ 0.78ms
  2026-05-15 03:02:08 /home ................................................................................ ~ 0.95ms
  2026-05-15 03:02:08 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 4.82ms
  2026-05-15 03:02:08 /themes/default/fonts/lab/lab.css .................................................... ~ 1.56ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/public/public.css ................................... ~ 3.28ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 4.37ms
  2026-05-15 03:02:08 /themes/default/css/custom.css ....................................................... ~ 4.78ms
  2026-05-15 03:02:08 /build/assets/app-kLbq6jaV.css ....................................................... ~ 6.50ms
  2026-05-15 03:02:08 /build/assets/app-CpvByPl6.css ....................................................... ~ 6.38ms
  2026-05-15 03:02:08 /themes/default/js/drawer.js ......................................................... ~ 5.37ms
  2026-05-15 03:02:08 /themes/default/js/modal.js .......................................................... ~ 5.32ms
  2026-05-15 03:02:08 /themes/default/js/customScript.js ................................................... ~ 3.72ms
  2026-05-15 03:02:08 /themes/default/js/tabs.js ........................................................... ~ 1.94ms
  2026-05-15 03:02:08 /themes/default/js/dropdown.js ....................................................... ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/app-BNGs7IB-.js ....................................................... ~ 17.01ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 0.26ms
  2026-05-15 03:02:08 /images/theme/theme-logo.png ......................................................... ~ 0.14ms
  2026-05-15 03:02:08 /images/theme/theme-footer-logo.png .................................................. ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/ItemComponent-C5fbfu7N.css ............................................. ~ 0.16ms
  2026-05-15 03:02:08 /build/assets/HomeComponent-wZ1ohavz.js .............................................. ~ 1.90ms
  2026-05-15 03:02:08 /build/assets/CategoryComponent-Dv3ROI8j.js .......................................... ~ 3.35ms
  2026-05-15 03:02:08 /build/assets/swiper-vue-0PfWYbtH.js ................................................. ~ 4.59ms
  2026-05-15 03:02:08 /build/assets/itemDesignEnum-CKbsMq1M.js ............................................. ~ 6.32ms
  2026-05-15 03:02:08 /build/assets/ItemComponent-DE_Fe8ET.js .............................................. ~ 7.99ms
  2026-05-15 03:02:08 /build/assets/OfferComponent-D9_nYZ7m.js ............................................. ~ 0.13ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 0.15ms
  2026-05-15 03:02:08 /themes/default/fonts/lab/lab.woff2?1740891535263 .................................... ~ 1.08ms
  2026-05-15 03:02:08 /themes/default/fonts/fontawesome/fa-regular-400.woff2 ............................... ~ 2.21ms
  2026-05-15 03:02:08 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 3.85ms
  2026-05-15 03:02:08 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 6.10ms
  2026-05-15 03:02:08 /storage/34/slide-0.jpg .............................................................. ~ 0.81ms
  2026-05-15 03:02:09 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 2.99ms
  2026-05-15 03:02:09 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf ................................ ~ 1.01ms
  2026-05-15 03:02:10 /storage/31/kahumbo-logo-(1).png ..................................................... ~ 3.46ms
  2026-05-15 03:02:12 /firebase-messaging-sw.js ............................................................ ~ 3.08ms
  2026-05-15 03:04:57 / .................................................................................. ~ 503.83ms
  2026-05-15 03:07:39 /home ................................................................................ ~ 1.06ms
  2026-05-15 03:07:39 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 4.25ms
  2026-05-15 03:07:39 /themes/default/fonts/lab/lab.css .................................................... ~ 2.00ms
  2026-05-15 03:07:39 /themes/default/fonts/typography/public/public.css ................................... ~ 4.41ms
  2026-05-15 03:07:39 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 5.99ms
  2026-05-15 03:07:39 /themes/default/css/custom.css ....................................................... ~ 6.07ms
  2026-05-15 03:07:39 /themes/default/js/drawer.js ......................................................... ~ 8.90ms
  2026-05-15 03:07:39 /themes/default/js/modal.js .......................................................... ~ 9.25ms
  2026-05-15 03:07:39 /themes/default/js/customScript.js .................................................. ~ 10.62ms
  2026-05-15 03:07:39 /themes/default/js/tabs.js .......................................................... ~ 11.07ms
  2026-05-15 03:07:39 /themes/default/js/dropdown.js ...................................................... ~ 10.37ms
  2026-05-15 03:07:40 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 1.19ms
  2026-05-15 03:07:40 /images/theme/theme-logo.png ......................................................... ~ 2.62ms
  2026-05-15 03:07:40 /api/frontend/setting .............................................................. ~ 500.98ms
  2026-05-15 03:07:41 /api/frontend/setting ................................................................ ~ 0.18ms
  2026-05-15 03:07:41 /api/frontend/item-category ........................................................ ~ 504.19ms
  2026-05-15 03:07:41 /api/frontend/page ....................................................................... ~ 1s
  2026-05-15 03:07:40 /images/theme/theme-footer-logo.png ...................................................... ~ 1s
  2026-05-15 03:07:41 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf ............................ ~ 510.31ms
  2026-05-15 03:07:42 /themes/default/fonts/lab/lab.woff2?1740891535263 .................................... ~ 1.44ms
  2026-05-15 03:07:42 /themes/default/fonts/fontawesome/fa-regular-400.woff2 ............................... ~ 2.98ms
  2026-05-15 03:07:42 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 4.55ms
  2026-05-15 03:07:42 /api/frontend/order .................................................................. ~ 1.33ms
  2026-05-15 03:07:42 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 8.86ms
  2026-05-15 03:07:42 /themes/default/fonts/fontawesome/fa-brands-400.woff2 ................................ ~ 9.12ms
  2026-05-15 03:07:42 /api/frontend/item/featured-items .................................................. ~ 506.88ms
  2026-05-15 03:07:42 /themes/default/fonts/typography/rubik/Rubik-Bold.ttf .............................. ~ 514.88ms
  2026-05-15 03:07:42 /api/frontend/item/popular-items ......................................................... ~ 1s
  2026-05-15 03:07:42 /api/frontend/item-category ........................................................ ~ 506.58ms
  2026-05-15 03:07:43 /api/frontend/offer ................................................................ ~ 506.84ms
  2026-05-15 03:07:43 /api/frontend/language ............................................................... ~ 0.21ms
  2026-05-15 03:07:43 /api/frontend/language/show/1 ...................................................... ~ 503.30ms
  2026-05-15 03:07:44 /api/frontend/item-category .............................................................. ~ 1s
  2026-05-15 03:07:44 /api/frontend/item-category/show/iced-tea ............................................ ~ 0.21ms
  2026-05-15 03:07:45 /api/frontend/item-category/show/fruit-shots ....................................... ~ 505.67ms
  2026-05-15 03:07:44 /storage/43/conversions/Strawberry-Juice-thumb.jpg ................................. ~ 509.72ms
  2026-05-15 03:07:45 /storage/104/conversions/coffee-thumb.png .......................................... ~ 508.89ms
  2026-05-15 03:07:44 /images/cart/empty-cart.gif .............................................................. ~ 1s
  2026-05-15 03:07:45 /storage/103/conversions/chocolate-shakes-thumb.png ................................ ~ 514.46ms
  2026-05-15 03:07:45 /storage/47/conversions/Please-provide-the-original-Pinterest-title-you-want-me-to-reformat_-thumb.jpg  ~ 8.62ms
  2026-05-15 03:07:45 /storage/42/conversions/Lemon-Ice-Tea-1-thumb.jpg .................................... ~ 7.73ms
  2026-05-15 03:07:45 /storage/44/conversions/hoptionb-img7-thumb.png ...................................... ~ 7.66ms
  2026-05-15 03:07:43 /storage/34/slide-0.jpg .................................................................. ~ 2s
  2026-05-15 03:07:45 /storage/105/conversions/fruit-shots-thumb.png ....................................... ~ 7.34ms
  2026-05-15 03:07:45 /storage/45/conversions/Unique-Mocktails-thumb.png ................................... ~ 8.60ms
  2026-05-15 03:07:45 /images/category/thumb.png ........................................................... ~ 8.54ms
  2026-05-15 03:07:45 /storage/48/conversions/Capture-thumb.JPG ............................................ ~ 9.59ms
  2026-05-15 03:07:45 /storage/98/conversions/strawverry-bliss-cover.png .................................. ~ 11.52ms
  2026-05-15 03:07:45 /storage/62/conversions/download-(2)-cover.jpg ....................................... ~ 8.01ms
  2026-05-15 03:07:45 /storage/102/conversions/masala-tea-cover.png ........................................ ~ 8.23ms
  2026-05-15 03:07:45 /storage/54/conversions/kit-kat-shake-cover.jpg ...................................... ~ 7.20ms
  2026-05-15 03:07:45 /api/frontend/item-category/show/iced-tea ............................................ ~ 0.18ms
  2026-05-15 03:07:45 /storage/96/conversions/golden-mango-bliss-cover.png ................................. ~ 9.11ms
  2026-05-15 03:07:45 /api/frontend/item-category/show/fruit-shots ....................................... ~ 509.72ms
  2026-05-15 03:07:45 /storage/100/conversions/strawberry-mojito-cover.png ............................... ~ 519.08ms
